upstream_camera,downstream_camera,lag_minutes,same_state_rate,increase_rate,decrease_rate,samples
2701,2704,5,0.5213270142180095,0.45429925524712256,0.024373730534867976,1477
2701,2704,10,0.5176151761517616,0.45528455284552843,0.02710027100271003,1476
2701,2704,15,0.5098305084745762,0.4583050847457627,0.031864406779661014,1475
2701,2704,20,0.5061058344640434,0.4592944369063772,0.03459972862957938,1474
2701,2704,25,0.5030549898167006,0.46028513238289204,0.03665987780040733,1473
2701,2704,30,0.4945652173913043,0.4633152173913043,0.042119565217391304,1472
2701,2704,35,0.4894629503738953,0.46498980285520053,0.045547246770904146,1471
2701,2704,40,0.48435374149659866,0.46598639455782315,0.04965986394557823,1470
2701,2704,45,0.4778761061946903,0.46834581347855686,0.053778080326752895,1469
2701,2704,50,0.476158038147139,0.46866485013623976,0.055177111716621256,1468
2701,2704,55,0.4703476482617587,0.4710293115201091,0.05862304021813224,1467
2701,2704,60,0.46725784447476126,0.4713506139154161,0.061391541609822645,1466
2702,2704,5,0.5829383886255924,0.3933649289099526,0.023696682464454975,1477
2702,2704,10,0.575880758807588,0.39634146341463417,0.027777777777777776,1476
2702,2704,15,0.5715254237288135,0.39728813559322035,0.031186440677966103,1475
2702,2704,20,0.5671641791044776,0.39823609226594303,0.03459972862957938,1474
2702,2704,25,0.561439239646979,0.3998642226748133,0.038696537678207736,1473
2702,2704,30,0.5563858695652174,0.4008152173913043,0.042798913043478264,1472
2702,2704,35,0.557443915703603,0.3990482664853841,0.043507817811012914,1471
2702,2704,40,0.5557823129251701,0.39931972789115644,0.044897959183673466,1470
2702,2704,45,0.5547991831177672,0.39959155888359427,0.045609257998638526,1469
2702,2704,50,0.5504087193460491,0.40122615803814715,0.048365122615803814,1468
2702,2704,55,0.5439672801635992,0.40354464894342196,0.05248807089297887,1467
2702,2704,60,0.5375170532060027,0.4051841746248295,0.0572987721691678,1466
2706,2704,5,0.6675693974272173,0.2938388625592417,0.03859174001354096,1477
2706,2704,10,0.6659891598915989,0.29336043360433606,0.04065040650406504,1476
2706,2704,15,0.6644067796610169,0.2922033898305085,0.04338983050847458,1475
2706,2704,20,0.6560379918588873,0.2944369063772049,0.04952510176390773,1474
2706,2704,25,0.6530889341479973,0.29463679565512557,0.05227427019687712,1473
2706,2704,30,0.6508152173913043,0.29415760869565216,0.05502717391304348,1472
2706,2704,35,0.6505778382053025,0.2929979605710401,0.05642420122365738,1471
2706,2704,40,0.6496598639455783,0.29183673469387755,0.058503401360544216,1470
2706,2704,45,0.6385296119809394,0.29611980939414567,0.0653505786249149,1469
2706,2704,50,0.6403269754768393,0.2935967302452316,0.06607629427792916,1468
2706,2704,55,0.6353101567825494,0.294478527607362,0.07021131561008861,1467
2706,2704,60,0.6296043656207367,0.296043656207367,0.07435197817189632,1466
